Dancefloor Stars Vol.4	Tanzorchester Klaus Hallen	2004
*	El Filo de la Noche	(slow)	Salsa	42 TPM
*	Save Your Kisses For Me		Samba	52 TPM
*	Crawling Up A Hill		Cha Cha Cha	32 TPM
*	The Wave	(slow)	Cha Cha Cha	29 TPM
*	Can't Wait Until Tonight		Rumba	26 TPM
*	My Sweet Lady	Featuring Peter Douglas (slow)	Rumba	20 TPM
*	Amores Del Sur	Featuring William	Paso Doble	60 TPM
*	Let's Get Happy		Jive	38 TPM
*	Stronger Every Minute		Waltz	29 TPM
*	Permítame Señora	Featuring William	Waltz	29 TPM
*	In-Tango		Tango	32 TPM
*	Don't Make Me Over		Viennese Waltz	57 TPM
*	Forever Autumn		Foxtrott	29 TPM
*	Hasta Mañana		Quickstep	51 TPM
*	Sing Me An Old Fashioned Song		Quickstep	50 TPM
*	Veo Veo		Discofox	32 TPM
Chartbreaker for Dancing Vol.11	Orchestra Alec Medina	2009
*	Phonography		Samba	54 MPM
*	Breathe Gentle		Samba	50 MPM
*	All This Time		Cha Cha Cha	33 MPM
*	I Hate This Part		Cha Cha Cha	30 MPM
*	Warwick Avenue		Rumba	24 MPM
*	Broken Strings		Rumba	26 MPM
*	Keeps Getting Better		Jive	38 MPM
*	Miles Away		Waltz	30 MPM
*	The Way I Am		Waltz	30 MPM
*	No Smoke		Tango	32 MPM
*	It Comes And It Goes		Viennese Waltz	56 MPM
*	Believe In Three Hazelnuts		Viennese Waltz	50 MPM
*	I Was Made For Loving You		Foxtrott	29 MPM
*	This Is The Life		Quickstep	50 MPM